分類コード,区分名称,診療行為コード,診療行為,点数,総計,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
D003,糞便検査,160113110,糞便中ヘモグロビン及びトランスフェリン定性・定量,56,85781,7598,7534,7492,7679,7266,6822,7219,7049,6780,7069,6521,6752
D003,糞便検査,160210050,カルプロテクチン（糞便）,276,1837,113,124,131,165,187,133,158,152,160,173,154,187
D004,穿刺液・採取液検査,160058050,ヒューナー検査,20,11,0,0,0,0,0,0,0,0,0,0,0,0
D004,穿刺液・採取液検査,160060910,精液一般検査,70,103,0,0,0,10,0,0,13,0,0,0,13,13
D004,穿刺液・採取液検査,160061010,胃液又は十二指腸液一般検査,55,4580,399,393,387,405,438,382,423,371,338,385,307,352
D004,穿刺液・採取液検査,160061110,髄液一般検査,62,202571,16945,16683,17207,18717,17845,16465,17216,16562,16882,16868,15397,15784
D004,穿刺液・採取液検査,160061210,頸管粘液一般検査,75,344,37,23,36,34,27,25,37,44,26,25,11,19
D004,穿刺液・採取液検査,160163150,顆粒球エラスターゼ（子宮頸管粘液）,125,14861,1386,1345,1319,1413,1270,1204,1312,1184,1164,1116,1062,1086
D004,穿刺液・採取液検査,160167150,顆粒球エラスターゼ定性（子宮頸管粘液）,100,7395,656,653,647,706,650,615,584,595,568,624,544,553
D004,穿刺液・採取液検査,160177810,ＩｇＧインデックス,426,15262,1199,1220,1222,1425,1338,1214,1397,1248,1313,1289,1182,1215
D004,穿刺液・採取液検査,160177910,ミエリン塩基性蛋白（ＭＢＰ）（髄液）,593,17635,1447,1380,1480,1698,1497,1348,1562,1409,1516,1490,1399,1409
D004,穿刺液・採取液検査,160178010,オリゴクローナルバンド,538,17700,1423,1397,1481,1683,1529,1384,1591,1440,1517,1470,1373,1412
D004,穿刺液・採取液検査,160182110,マイクロバブルテスト,200,925,56,77,73,78,90,65,92,81,79,71,80,83
D004,穿刺液・採取液検査,160184150,ＩｇＥ定性（涙液）,100,25,0,0,0,0,0,0,0,0,0,0,0,0
D004,穿刺液・採取液検査,160190610,リン酸化タウ蛋白（髄液）,641,2008,166,152,190,206,181,152,171,148,162,151,160,169
D004,穿刺液・採取液検査,160190710,タウ蛋白（髄液）,641,949,81,61,79,92,82,55,79,70,98,87,82,83
D004-2,悪性腫瘍組織検査,160178110,悪性腫瘍遺伝子検査（ＥＧＦＲ遺伝子検査）（リアルタイムＰＣＲ法以外）,2100,9149,842,816,925,907,789,756,732,728,702,649,646,657
D004-2,悪性腫瘍組織検査,160182210,抗悪性腫瘍剤感受性検査,2500,99,10,0,11,0,0,10,0,10,0,0,0,0
D004-2,悪性腫瘍組織検査,160190810,悪性腫瘍遺伝子検査（Ｋ－ｒａｓ遺伝子検査）,2100,3011,268,206,244,264,236,245,286,239,257,250,241,275
D004-2,悪性腫瘍組織検査,160190910,悪性腫瘍遺伝子検査（ＥＷＳ－Ｆｌｉ１遺伝子検査）,2100,12,0,0,0,0,0,0,0,0,0,0,0,0
D004-2,悪性腫瘍組織検査,160191010,悪性腫瘍遺伝子検査（ＴＬＳ－ＣＨＯＰ遺伝子検査）,2100,51,0,0,0,0,0,0,0,0,0,0,0,0
D004-2,悪性腫瘍組織検査,160191110,悪性腫瘍遺伝子検査（ＳＹＴ－ＳＳＸ遺伝子検査）,2100,22,0,0,0,0,0,0,0,0,0,0,0,0
D004-2,悪性腫瘍組織検査,160191210,悪性腫瘍遺伝子検査（ｃ－ｋｉｔ遺伝子検査）,2500,178,19,18,0,19,15,12,17,20,14,12,0,14
D004-2,悪性腫瘍組織検査,160191310,悪性腫瘍遺伝子検査（マイクロサテライト不安定性検査（家族性非ポリポージス大腸癌））,2100,2796,306,284,246,250,230,189,234,212,219,232,188,206
D004-2,悪性腫瘍組織検査,160191410,悪性腫瘍遺伝子検査（センチネルリンパ節生検に係る遺伝子検査）,2100,39,0,0,0,0,0,0,0,0,0,0,0,0
D004-2,悪性腫瘍組織検査,160202910,悪性腫瘍遺伝子検査（ＥＧＦＲ遺伝子検査）（リアルタイムＰＣＲ法）,2500,10446,981,943,936,945,883,835,893,798,832,791,782,827
D004-2,悪性腫瘍組織検査,160205250,悪性腫瘍遺伝子検査（ＢＲＡＦ遺伝子検査）,6520,5224,495,434,439,493,432,411,451,407,414,392,396,460
D004-2,悪性腫瘍組織検査,160205350,悪性腫瘍遺伝子検査（ＲＡＳ遺伝子検査）,2500,18928,1666,1522,1610,1772,1584,1548,1577,1540,1544,1463,1450,1652
D004-2,悪性腫瘍組織検査,160209950,悪性腫瘍遺伝子検査（ＲＯＳ１融合遺伝子検査）,2500,7685,704,714,818,796,655,614,581,559,571,527,570,576
D004-2,悪性腫瘍組織検査,160215250,悪性腫瘍遺伝子検査（ＢＲＡＦ遺伝子検査（ＰＣＲ－ｒＳＳＯ法））,2100,11042,905,852,938,1017,917,933,921,925,927,860,847,1000
D004-2,悪性腫瘍組織検査,160215550,悪性腫瘍遺伝子検査（マイクロサテライト不安定性検査（局所進行若しくは転移が認められた標準的な治療が困難な固形癌））,2100,5455,455,458,456,453,423,445,485,463,449,450,437,481
D004-2,悪性腫瘍組織検査,160216250,悪性腫瘍遺伝子検査（シークエンサーシステム・４項目一括）,11700,129,0,0,0,10,11,14,11,15,11,18,11,27
D004-2,悪性腫瘍組織検査,160216350,悪性腫瘍遺伝子検査（シークエンサーシステム・２項目一括）,5200,0,0,0,0,0,0,0,0,0,0,0,0,0
D005,血液形態・機能検査,160007610,赤血球沈降速度（ＥＳＲ）,9,918798,79548,76684,76417,84391,79238,75523,78179,74711,76864,73741,70418,73084
D005,血液形態・機能検査,160007710,好酸球数,17,10703,766,855,874,904,880,845,877,964,939,968,890,941
D005,血液形態・機能検査,160007910,網赤血球数,12,2307294,191779,187850,186901,207044,196494,188091,194312,189405,195929,191757,182746,194986
D005,血液形態・機能検査,160008010,末梢血液一般検査,21,44419864,3774038,3708024,3588990,3895267,3816391,3595737,3714809,3645986,3809030,3753939,3496315,3621338
D005,血液形態・機能検査,160008110,血液浸透圧,15,514033,41825,42102,41981,46472,48583,42733,42263,42075,43890,43792,38678,39639
D005,血液形態・機能検査,160008210,末梢血液像（鏡検法）,25,4090102,357139,344125,337286,368474,359280,337588,342093,331206,341869,331586,311929,327527
D005,血液形態・機能検査,160009310,血中微生物検査,40,606,52,57,30,49,61,67,46,46,50,54,60,34
D005,血液形態・機能検査,160009410,自己溶血試験,50,479,0,10,12,20,22,335,14,0,21,17,0,0
D005,血液形態・機能検査,160009510,血液粘稠度,50,535,41,71,47,37,49,30,38,33,42,29,52,66
D005,血液形態・機能検査,160009610,赤血球抵抗試験,45,490,37,40,49,49,42,37,40,36,50,47,37,26
D005,血液形態・機能検査,160010010,ヘモグロビンＡ１ｃ（ＨｂＡ１ｃ）,49,3684197,310139,310781,297496,320018,310822,292078,306761,303623,312116,326790,292198,301375
D005,血液形態・機能検査,160010210,ヘモグロビンＦ（ＨｂＦ）,60,16682,1190,1453,1374,1207,1458,1287,1091,1383,1565,1547,1427,1700
D005,血液形態・機能検査,160010410,骨髄像,837,73472,6203,6377,6282,6982,6243,5901,6351,5845,5800,6200,5257,6031
D005,血液形態・機能検査,160057410,造血器腫瘍細胞抗原検査（一連につき）,2000,83199,7069,7009,7131,7791,7051,6700,7167,6687,6740,6862,6089,6903
D005,血液形態・機能検査,160113310,ターミナルデオキシヌクレオチジルトランスフェラーゼ（ＴｄＴ）,250,719,58,69,54,66,54,50,71,69,53,59,57,59
D005,血液形態・機能検査,160122850,好酸球（鼻汁・喀痰）,15,5123,500,497,383,456,454,418,390,412,409,449,384,371
D005,血液形態・機能検査,160143350,デオキシチミジンキナーゼ（ＴＫ）活性,233,2937,258,268,251,282,238,215,233,237,220,234,252,249
D005,血液形態・機能検査,160191510,末梢血液像（自動機械法）,15,28180818,2356761,2329470,2255959,2469622,2422563,2287615,2364704,2319423,2425791,2403939,2231178,2313793
D006,出血・凝固検査,160011410,出血時間,15,190034,17144,16406,16277,17072,15809,15299,16115,15924,15504,15466,14384,14634
D006,出血・凝固検査,160011610,毛細血管抵抗試験,19,556,49,40,39,47,39,75,36,36,44,58,55,38
D006,出血・凝固検査,160011810,血餅収縮能,19,70,0,0,0,0,0,0,0,0,0,10,0,0
D006,出血・凝固検査,160012010,プロトロンビン時間（ＰＴ）,18,12090285,1013319,1012368,979778,1054441,1022204,970340,1007090,996350,1040431,1045106,957815,991043
D006,出血・凝固検査,160012110,トロンビン時間,25,3858,386,441,352,253,305,194,259,286,360,367,337,318
D006,出血・凝固検査,160012310,活性化部分トロンボプラスチン時間（ＡＰＴＴ）,29,11066320,924122,925801,895048,962716,935655,886576,920841,915809,953472,962210,877498,906572
D006,出血・凝固検査,160012610,フィブリノゲン半定量,23,2175753,179906,181814,175929,190118,187009,177232,183023,178581,187633,188016,170339,176153
D006,出血・凝固検査,160012750,蛇毒試験,28,0,0,0,0,0,0,0,0,0,0,0,0,0
D006,出血・凝固検査,160012850,ヘパリン抵抗試験,28,5072,352,565,597,590,450,311,558,355,414,214,323,343
D006,出血・凝固検査,160013110,血小板粘着能,64,483,39,44,35,45,46,40,38,34,33,43,42,44
D006,出血・凝固検査,160013310,フィブリンモノマー複合体定性,93,95022,7776,7682,7605,8475,7888,7831,8292,7873,8268,7831,7560,7941
D006,出血・凝固検査,160013510,トロンボエラストグラフ,28,260,0,0,17,31,15,18,28,20,22,35,20,33
D006,出血・凝固検査,160014250,プラスミン活性,80,92,0,0,0,0,10,0,0,11,0,11,0,0
D006,出血・凝固検査,160014310,血小板凝集能,50,30357,2651,2509,2525,2850,2637,2329,2464,2507,2494,2546,2300,2545
D006,出血・凝固検査,160014510,フィブリン・フィブリノゲン分解産物（ＦＤＰ）定性,80,1346601,112566,113143,109282,118944,116798,110836,112797,110627,114678,115318,104400,107212
D006,出血・凝固検査,160014610,プラスミン,80,48,0,0,0,13,0,0,0,0,0,0,0,0
D006,出血・凝固検査,160015310,ｖｏｎ　Ｗｉｌｌｅｂｒａｎｄ因子（ＶＷＦ）活性,136,8431,730,717,738,823,717,624,691,655,706,740,629,661
D006,出血・凝固検査,160015410,凝固因子インヒビター（第８因子）,152,2242,173,169,163,215,201,186,212,167,199,207,173,177
D006,出血・凝固検査,160015510,凝固因子インヒビター（第９因子）,152,678,45,42,63,68,56,52,71,49,60,70,57,45
D006,出血・凝固検査,160015610,ＰＩＶＫＡ－２,143,1897,154,160,189,167,177,137,149,133,175,148,173,135
D006,出血・凝固検査,160015710,プラスミノゲン活性,100,21383,1887,1807,1616,1967,1852,1698,1902,1908,1802,1709,1586,1649
D006,出血・凝固検査,160015810,プラスミン・プラスミンインヒビター複合体（ＰＩＣ）,162,64365,5828,5393,5420,5936,5630,5116,5220,5363,5215,5171,4834,5239
D006,出血・凝固検査,160015910,凝固因子（第２因子）,229,1326,93,115,118,128,101,97,110,120,112,109,108,115
D006,出血・凝固検査,160016010,凝固因子（第５因子）,229,1680,124,137,127,156,152,114,129,159,145,148,133,156
D006,出血・凝固検査,160016110,凝固因子（第７因子）,229,2174,160,161,191,222,181,170,182,162,178,213,175,179
D006,出血・凝固検査,160016210,凝固因子（第８因子）,229,6959,570,533,598,675,617,528,598,537,568,657,519,559
D006,出血・凝固検査,160016310,凝固因子（第９因子）,229,3197,259,234,293,321,264,225,282,267,260,287,232,273
D006,出血・凝固検査,160016410,凝固因子（第１０因子）,229,2492,178,221,217,227,211,199,214,225,220,184,182,214
D006,出血・凝固検査,160016510,凝固因子（第１１因子）,229,1290,90,93,97,139,100,102,112,129,98,110,115,105
D006,出血・凝固検査,160016610,凝固因子（第１３因子）,229,18959,1589,1411,1417,1639,1531,1464,1766,1804,1711,1522,1535,1570
D006,出血・凝固検査,160016710,血小板第４因子（ＰＦ４）,178,2168,177,189,180,211,171,184,192,163,188,189,157,167
D006,出血・凝固検査,160016810,β－トロンボグロブリン（β－ＴＧ）,177,1691,148,155,159,147,142,118,157,129,151,148,112,125
D006,出血・凝固検査,160113410,クリオフィブリノゲン,23,258,11,12,21,11,17,15,28,18,45,23,34,23
D006,出血・凝固検査,160113510,アンチトロンビン活性,70,1207782,101584,101545,98779,106607,103433,96980,100129,99075,103979,101897,94235,99539
D006,出血・凝固検査,160113610,α２－マクログロブリン,138,643,76,60,60,44,53,51,56,43,49,52,51,48
D006,出血・凝固検査,160113710,α１－アンチトリプシン,80,1531,166,138,129,147,129,118,125,123,98,115,128,115
D006,出血・凝固検査,160113810,Ｄダイマー定性,128,401428,33000,32691,32002,34624,33110,31685,33572,33723,35137,35411,32653,33820
D006,出血・凝固検査,160113910,プラスミンインヒビター（アンチプラスミン）,131,17604,1498,1493,1402,1634,1516,1492,1534,1457,1456,1420,1304,1398
D006,出血・凝固検査,160114010,Ｄダイマー,137,5616110,466274,464619,448008,486711,472339,447948,466698,465112,488039,491000,452565,466797
D006,出血・凝固検査,160114110,プロテインＣ活性,248,46629,4051,4012,3630,4179,3832,3553,3930,3912,3994,3980,3752,3804
D006,出血・凝固検査,160114210,トロンビン・アンチトロンビン複合体（ＴＡＴ）,186,106031,9688,9133,8991,9586,9293,8421,8678,8769,8902,8443,7887,8240
D006,出血・凝固検査,160121310,凝固因子（第１２因子）,229,2149,164,171,153,217,175,172,180,201,171,183,183,179
D006,出血・凝固検査,160124650,ｖｏｎ　Ｗｉｌｌｅｂｒａｎｄ因子（ＶＷＦ）抗原,155,2632,232,261,200,227,227,166,231,212,230,226,188,232
D006,出血・凝固検査,160124850,プロテインＳ活性,170,29885,2446,2522,2338,2580,2427,2265,2478,2466,2589,2768,2467,2539
D006,出血・凝固検査,160154150,ｔＰＡ・ＰＡＩ－１複合体,247,18169,1789,1739,1608,1728,1715,1423,1529,1456,1352,1238,1368,1224
D006,出血・凝固検査,160157050,トロンボモジュリン,205,12887,1291,1235,1061,1243,1152,984,1030,1107,971,901,945,967
D006,出血・凝固検査,160157950,プロトロンビンフラグメントＦ１＋２,193,3988,345,319,353,353,354,338,358,343,338,283,297,307
D006,出血・凝固検査,160159850,フィブリンモノマー複合体,233,64142,5710,5374,5254,5573,5549,5157,5409,5187,5376,4976,5366,5211
D006,出血・凝固検査,160176450,トロンボテスト,18,66498,6481,6166,5858,6343,5891,5351,5386,5386,5603,4990,4847,4196
D006,出血・凝固検査,160182410,凝固因子インヒビター定性（クロスミキシング試験）,100,1154,68,100,113,121,89,106,102,101,92,98,81,83
D006,出血・凝固検査,160191610,フィブリノゲン定量,23,2421193,201085,202530,196491,212876,207640,196827,200552,200260,208499,208403,189290,196740
D006,出血・凝固検査,160191710,アンチトロンビン抗原,70,25395,2152,2262,1968,2067,2154,2057,2092,2056,2200,2362,1971,2054
D006,出血・凝固検査,160191810,フィブリン・フィブリノゲン分解産物（ＦＤＰ）半定量,80,23232,1912,1989,1948,1937,1946,1828,1925,1969,2085,1964,1861,1868
D006,出血・凝固検査,160191910,フィブリン・フィブリノゲン分解産物（ＦＤＰ）定量,80,1489111,124462,125388,121972,132761,130340,122213,124022,120592,126853,126372,114779,119357
D006,出血・凝固検査,160192010,プラスミノゲン抗原,100,916,71,75,79,78,67,85,61,81,79,95,71,74
D006,出血・凝固検査,160192110,Ｄダイマー半定量,131,278418,22800,22753,21926,24074,23117,22366,22826,23449,24350,24651,22661,23445
D006,出血・凝固検査,160192210,プロテインＳ抗原,162,11182,916,900,921,959,920,874,983,950,928,996,875,960
D006,出血・凝固検査,160192310,プロテインＣ抗原,246,7552,617,620,628,634,646,602,649,633,630,669,573,651
D006,出血・凝固検査,160210710,ＡＤＡＭＴＳ１３活性,400,3200,239,237,221,280,231,270,287,284,302,328,234,287
D006,出血・凝固検査,160210810,ＡＤＡＭＴＳ１３インヒビター,600,1967,136,162,152,185,134,166,168,163,192,185,147,177
D006-10,ＣＣＲ４タンパク（フローサイトメトリー法）,160200650,ＣＣＲ４タンパク（フローサイトメトリー法）,10000,308,23,28,28,33,20,21,31,26,26,24,16,32
D006-11,ＦＩＰ１Ｌ１－ＰＤＧＦＲα融合遺伝子検査,160209550,ＦＩＰ１Ｌ１－ＰＤＧＦＲα融合遺伝子検査,3300,222,14,21,11,23,14,18,16,19,19,27,21,19
D006-12,ＥＧＦＲ遺伝子検査（血漿）,160210250,ＥＧＦＲ遺伝子検査（血漿）,2100,740,74,63,71,61,63,59,63,61,75,53,46,51
D006-13,骨髄微小残存病変量測定,160211510,骨髄微小残存病変量測定（遺伝子再構成の同定に用いるもの）,3500,440,0,0,21,40,44,51,42,58,49,43,46,44
D006-13,骨髄微小残存病変量測定,160211610,骨髄微小残存病変量測定（モニタリングに用いるもの）,2100,289,0,0,0,0,21,28,20,34,48,43,39,43
D006-2,造血器腫瘍遺伝子検査,160165210,造血器腫瘍遺伝子検査,2100,14290,1146,1162,1118,1269,1188,1159,1219,1208,1170,1254,1123,1274
D006-2,造血器腫瘍遺伝子検査,160215050,ＢＲＣＡ１／２遺伝子検査,20200,160,0,14,0,0,11,23,23,13,14,15,16,11
D006-2,造血器腫瘍遺伝子検査,160215650,ＦＬＴ３遺伝子検査,4200,1097,82,82,86,79,76,86,117,107,85,101,92,104
D006-3,Ｍａｊｏｒ　ＢＣＲ－ＡＢＬ１,160205810,Ｍａｊｏｒ　ＢＣＲ－ＡＢＬ１　（ｍＲＮＡ定量・国際標準値）（診断の補助に用いるもの）,2520,608,56,66,51,56,47,46,50,58,44,40,31,63
D006-3,Ｍａｊｏｒ　ＢＣＲ－ＡＢＬ１,160205910,Ｍａｊｏｒ　ＢＣＲ－ＡＢＬ１　（ｍＲＮＡ定量・国際標準値）（モニタリングに用いるもの）,2520,1398,125,106,105,120,117,113,120,116,134,114,106,122
D006-3,Ｍａｊｏｒ　ＢＣＲ－ＡＢＬ１,160206010,Ｍａｊｏｒ　ＢＣＲ－ＡＢＬ１　（ｍＲＮＡ定量）（１以外のもの）,1200,332,30,33,17,28,23,24,29,29,23,33,30,33
D006-3,Ｍａｊｏｒ　ＢＣＲ－ＡＢＬ１,160215850,膀胱がん関連遺伝子検査,1597,0,0,0,0,0,0,0,0,0,0,0,0,0
D006-4,遺伝学的検査,160210910,遺伝学的検査（処理が容易なもの）,3880,2941,233,246,279,246,276,216,234,261,244,268,213,225
D006-4,遺伝学的検査,160211010,遺伝学的検査（処理が複雑なもの）,5000,1225,88,91,97,102,124,116,118,100,101,86,106,96
D006-4,遺伝学的検査,160211110,遺伝学的検査（処理が極めて複雑なもの）,8000,112,0,0,10,19,0,13,0,0,0,15,10,13
D006-4,遺伝学的検査,160211210,遺伝学的検査（処理が容易なもの）（（１）のエに掲げる遺伝子疾患の場合）,3880,941,77,86,88,83,73,74,71,85,67,77,92,68
D006-4,遺伝学的検査,160211310,遺伝学的検査（処理が複雑なもの）（（１）のエに掲げる遺伝子疾患の場合）,5000,109,0,19,13,0,0,10,0,0,0,0,12,0
D006-4,遺伝学的検査,160211410,遺伝学的検査（処理が極めて複雑なもの）（（１）のエに掲げる遺伝子疾患の場合）,8000,87,0,0,0,13,10,0,0,0,0,0,0,0
D006-4,遺伝学的検査,160215750,シークエンサーシステムを用いたＢＲＡＦ遺伝子検査,5000,884,51,65,95,114,86,69,63,64,74,67,73,63
D006-4,遺伝学的検査,160216450,遺伝学的検査（シークエンサーシステム・プロファイリング）,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
D006-4,遺伝学的検査,160216550,遺伝学的検査（プロファイル、検討・説明料）,48000,0,0,0,0,0,0,0,0,0,0,0,0,0
D006-5,染色体検査,160060710,染色体検査（全ての費用を含む）,2631,103949,8763,8847,8831,9767,8839,8293,8979,8285,8322,8684,7600,8739
D006-6,免疫関連遺伝子再構成,160178310,免疫関連遺伝子再構成,2504,10361,877,851,936,1003,866,798,899,821,820,842,814,834
D006-6,免疫関連遺伝子再構成,160217050,ＪＡＫ２遺伝子検査,2504,0,0,0,0,0,0,0,0,0,0,0,0,0
D006-7,ＵＤＰグルクロン酸転移酵素遺伝子多型,160184650,ＵＤＰグルクロン酸転移酵素遺伝子多型,2100,10158,819,833,874,932,883,784,843,809,831,899,830,821
D006-7,ＵＤＰグルクロン酸転移酵素遺伝子多型,160216050,Ｎｕｄｉｘ　ｈｙｄｒｏｌａｓｅ　１５（ＮＵＤＴ１５）遺伝子多型検査,2100,3355,185,183,274,307,311,237,288,294,305,302,330,339
D006-8,サイトケラチン１９（ＫＲＴ１９）ｍ－ＲＮＡ検出,160184550,サイトケラチン１９（ＫＲＴ１９）ｍＲＮＡ検出,2400,8072,677,615,655,642,661,666,719,729,716,695,615,682
D006-9,ＷＴ１　ｍＲＮＡ,160181850,ＷＴ１　ｍＲＮＡ,2520,33622,2681,2840,2626,3000,2753,2780,2824,2734,2717,3023,2702,2942
D007,血液化学検査,160000550,ケトン体試験紙法（血中）,11,244999,20642,21467,19921,20297,20014,20794,19535,19688,21732,20512,19766,20631
D007,血液化学検査,160000650,ケトン体アンプル法（血中）,11,2310359,204891,203933,193087,193432,190448,183621,192223,191836,195517,190913,184242,186216
D007,血液化学検査,160000750,糖試験紙法（血中）,11,47850616,4016636,4063578,3957472,4032873,3971449,3771930,3864868,3890173,4051536,4168347,4011289,4050465
D007,血液化学検査,160000850,糖アンプル法（血中）,11,357979,29265,31157,30142,31452,29491,28339,30902,29324,29500,28958,29933,29516
D007,血液化学検査,160000950,クロール試験紙法（血中）,11,99864,9051,8803,8238,8654,8219,7709,8088,8083,8489,8606,7608,8316
D007,血液化学検査,160001050,クロールアンプル法（血中）,11,104355,9168,9921,9288,8352,9074,8183,7731,7942,8164,8924,8605,9003
D007,血液化学検査,160017010,総ビリルビン,11,35485678,2991855,2948863,2851687,3110897,3052220,2882369,2974291,2916575,3044933,3015436,2796024,2900528
D007,血液化学検査,160017110,直接ビリルビン,11,9756054,807221,802673,788630,862404,845973,804328,831106,804632,831347,815474,763356,798910
D007,血液化学検査,160017410,総蛋白,11,31514985,2673469,2632978,2542629,2770523,2704633,2556353,2638445,2584812,2697545,2668581,2477937,2567080
